"Club ID", "Runner", "Distance", "Runs"
"439808","Tony C.","106.254441","8"
"439808","Jesse L.","105.26024740000001","7"
"439808","Richard Y.","66.7973825","9"
"72363","Guodong P.","66.1760115","5"
"301632","Chunxin W.","64.87113240000001","7"
"523602","Guanyu W.","63.007019400000004","7"
"439808","James W.","62.3856484","6"
"439808","Min Y.","58.7195595","6"
"439808","Yunfeng Z.","57.5389546","7"
"439808","Julie Q.","57.4146804","8"
"439808","Howard G.","56.793309400000005","5"
"439808","Wayne H.","56.7311723","5"
"439808","John W.","55.23988190000001","6"
"439808","Sunny Y.","55.1777448","6"
"439808","Jun J.","54.680648","8"
"301632","Jingjun S.","54.556373799999996","14"
"301632","Meng S.","54.183551200000004","6"
"301632","Sherry X.","53.7485915","9"
"439808","Tony J.","52.6922608","8"
"301632","Jessie Y.","52.5679866","6"
"439808","Sherry s.","52.505849500000004","9"
"301632","Shaoguang C.","51.8844785","7"
"72363","Min C.","51.573793","8"
"439808","David W.","50.7660107","7"
"439808","Samantha W.","50.579599400000006","8"
"439808","Yale Y.","49.7718171","6"
"439808","Qingmei B.","49.5854058","7"
"439808","Lieting Y.","49.5232687","5"
"523602","ningde x.","49.2747203","6"
"439808","Jie C.","49.088309","6"
"301632","Jason L.","49.0261719","5"
"439808","Hong J.","48.7154864","7"
"301632","Shen X.","48.5290751","5"
"439808","May W.","47.3484702","9"
"439808","James C.","46.602825","6"
"439808","Lynn H.","46.230002400000004","7"
"439808","B. C.","45.981454","7"
"439808","david w.","45.484357200000005","7"
"301632","Lifeng P.","45.360083","5"
"439808","Tao L.","45.1115346","5"
"301632","Yihua Z.","45.0493975","5"
"439808","Hui W.","44.8629862","7"
"72363","Grant G.","43.8066555","5"
"523602","Hongzhe L.","43.433832900000006","4"
"301632","Harris Z.","43.0610103","5"
"72363","Don S.","42.6260506","5"
"301632","Libo S.","42.191090900000006","5"
"72363","Yc L.","41.5697199","7"
"523602","Alex L.","41.5075828","5"
"72363","Shengxi D.","41.196897299999996","8"
